hex,count_good_aircraft,count_bad_aircraft
8400cd3ffffffff,0,1
8400eddffffffff,1,0
8401059ffffffff,3,0
840105bffffffff,2,0
84010c5ffffffff,1,0
8401201ffffffff,6,0
8401205ffffffff,3,0
8401207ffffffff,4,0
8401209ffffffff,2,0
840120dffffffff,6,1
8401221ffffffff,2,0
8401225ffffffff,5,0
8401227ffffffff,2,0
8401229ffffffff,4,0
840122bffffffff,2,0
840122dffffffff,3,0
8401231ffffffff,4,0
8401233ffffffff,4,0
8401239ffffffff,4,0
8401241ffffffff,3,1
8401243ffffffff,5,0
8401245ffffffff,4,3
8401247ffffffff,10,3
8401249ffffffff,1,0
840124bffffffff,3,1
840124dffffffff,1,0
8401255ffffffff,1,0
8401259ffffffff,5,0
840125dffffffff,1,0
8401261ffffffff,5,0
8401263ffffffff,4,0
8401265ffffffff,4,0
8401267ffffffff,6,1
8401269ffffffff,1,0
840126bffffffff,5,0
840126dffffffff,2,2
84012c3ffffffff,1,0
84012c9ffffffff,1,0
84012cbffffffff,1,0
840130bffffffff,2,1
8401319ffffffff,4,0
840131dffffffff,2,0
8401351ffffffff,6,1
8401353ffffffff,4,1
8401355ffffffff,4,1
8401357ffffffff,4,0
8401359ffffffff,4,1
840135bffffffff,5,1
840135dffffffff,9,2
8401369ffffffff,1,0
8402491ffffffff,4,0
8402495ffffffff,1,0
8402499ffffffff,5,0
840249bffffffff,4,0
840249dffffffff,1,0
84024d1ffffffff,1,0
84024d3ffffffff,3,0
84024d5ffffffff,2,0
84024d9ffffffff,2,0
84024dbffffffff,1,0
84024ddffffffff,1,0
8402683ffffffff,4,0
8402691ffffffff,2,0
8402693ffffffff,1,0
8402695ffffffff,1,0
8402697ffffffff,2,0
8402699ffffffff,2,0
840269dffffffff,2,0
84026b1ffffffff,2,0
84026b3ffffffff,1,0
84026b5ffffffff,2,0
84026b9ffffffff,3,0
84026bbffffffff,2,0
84026d3ffffffff,1,0
84026d7ffffffff,2,0
84026dbffffffff,1,0
8403263ffffffff,1,0
8406281ffffffff,1,0
8406283ffffffff,5,0
8406289ffffffff,3,0
840628bffffffff,5,0
8406291ffffffff,3,0
8406293ffffffff,4,0
8406295ffffffff,1,0
8406297ffffffff,3,0
8406299ffffffff,4,0
840629bffffffff,3,0
840629dffffffff,4,0
84062b1ffffffff,1,0
84062b9ffffffff,3,0
84062bbffffffff,1,0
84062c1ffffffff,4,0
84062c3ffffffff,3,0
84062c7ffffffff,2,0
84062cbffffffff,4,0
84062d1ffffffff,4,0
84062d3ffffffff,5,0
84062d5ffffffff,6,0
84062d7ffffffff,5,0
84062d9ffffffff,4,0
84062dbffffffff,2,0
84062ddffffffff,2,0
8406601ffffffff,8,0
8406603ffffffff,2,0
8406605ffffffff,12,0
8406607ffffffff,3,0
8406609ffffffff,9,0
840660bffffffff,6,0
840660dffffffff,6,0
8406619ffffffff,1,0
840661dffffffff,1,0
8406621ffffffff,6,0
8406623ffffffff,2,0
8406625ffffffff,3,0
8406627ffffffff,1,0
8406629ffffffff,5,0
840662bffffffff,4,0
840662dffffffff,9,0
8406639ffffffff,1,0
840663dffffffff,4,0
8406641ffffffff,10,0
8406643ffffffff,7,0
8406645ffffffff,8,0
8406647ffffffff,7,0
8406649ffffffff,12,0
840664bffffffff,7,0
840664dffffffff,7,0
8406651ffffffff,7,0
8406655ffffffff,10,0
8406657ffffffff,7,0
8406659ffffffff,10,0
840665bffffffff,3,0
840665dffffffff,4,0
8406661ffffffff,13,0
8406663ffffffff,14,0
8406665ffffffff,9,0
8406667ffffffff,15,0
8406669ffffffff,12,0
840666bffffffff,20,0
840666dffffffff,16,0
8406715ffffffff,2,0
8406719ffffffff,2,0
840671dffffffff,18,0
8406741ffffffff,1,0
8406743ffffffff,5,0
8406745ffffffff,1,0
8406749ffffffff,2,0
840674bffffffff,4,0
840674dffffffff,4,0
8406751ffffffff,17,0
8406753ffffffff,3,0
8406755ffffffff,2,0
8406757ffffffff,20,0
8406759ffffffff,16,0
840675bffffffff,4,0
840675dffffffff,6,0
840676dffffffff,1,0
8406983ffffffff,2,0
8406987ffffffff,2,0
8406991ffffffff,1,0
8406995ffffffff,2,0
8406997ffffffff,4,0
84069a3ffffffff,1,0
84069a5ffffffff,1,0
84069adffffffff,1,0
84069b1ffffffff,2,0
84069b3ffffffff,8,0
84069b7ffffffff,8,0
84069bbffffffff,8,0
84069bdffffffff,2,0
8406c03ffffffff,2,0
8406c05ffffffff,2,0
8406c15ffffffff,3,0
8406c17ffffffff,1,0
8406c1dffffffff,2,0
8406c21ffffffff,3,0
8406c23ffffffff,4,0
8406c25ffffffff,5,0
8406c27ffffffff,7,0
8406c29ffffffff,3,0
8406c2bffffffff,5,0
8406c2dffffffff,2,0
8406c31ffffffff,3,0
8406c33ffffffff,1,0
8406c35ffffffff,7,0
8406c37ffffffff,7,0
8406c39ffffffff,3,0
8406c61ffffffff,7,0
8406c63ffffffff,1,0
8406c65ffffffff,8,0
8406c67ffffffff,1,0
8406c83ffffffff,23,0
8406c85ffffffff,23,0
8406c87ffffffff,1,0
8406c95ffffffff,27,0
8406c9dffffffff,24,0
8406ca1ffffffff,10,0
8406ca3ffffffff,16,0
8406ca5ffffffff,5,0
8406ca7ffffffff,8,0
8406ca9ffffffff,5,0
8406cabffffffff,18,0
8406cb1ffffffff,24,0
8406cb3ffffffff,1,0
8406cb5ffffffff,11,0
8406cb7ffffffff,18,0
8406cb9ffffffff,24,0
8406cbbffffffff,11,0
